taxon,biogeographische.region,Autor_Jahr
Acrocassis rufule,AF,Thomson
Acromis nebulosa,NW,Boheman
Aehtiopocassis gallarum,AF,Spaeth
Aehtiopocassis revulsa,AF,Spaeth
Agenisa caedemadens,NW,Lichtenstein
Agenisa connectens,NW,Baly
Agenysa crassicornis,NW,Spaeth
Agroiconota parellina,NW,Spaeth
Agroiconota vittifera,NW,Spaeth
Amythra dichroa,NW,Baly
Anacassis dubia,NW,Boheman
Anacassis testudinaria,NW,Boheman
Andevocassis picta,AF,Spaeth
Androya impressicollis,AF,Fairmaire
Androya rubrocostata,AF,Fairmaire
Anepsiomorpha deplanata,NW,Boheman
Aslamidium bolivianum,NW,Borowiec & Sassi
Aslamidium ecuadoricum,NW,Borowiec
Aslamidium semicirculare,NW,Olivier
Aspidomorpha adhaerens,O,Weber
Aspidomorpha apicalis,AF,Klug
Aspidomorpha areata,AF,Klug
Aspidomorpha australasiae,O,Boisduval
Aspidomorpha bataviana,AS,Swietojanska
Aspidomorpha biguttata,AF,Fabricius
Aspidomorpha bimaculata,AF,Fabricius
Aspidomorpha chlorina,AF,Boheman
Aspidomorpha chlorotica,AF,Olivier
Aspidomorpha cincta,AF,Spaeth
Aspidomorpha convolvuli,O,Boheman
Aspidomorpha deusta,AS,Fabricius
Aspidomorpha diaphana,AF,Sahlberg
Aspidomorpha difformis,PA,Motschulsky
Aspidomorpha dissentanea,AF,Boheman
Aspidomorpha dorsata,AS,Fabricius
Aspidomorpha dovei,AS,
Aspidomorpha elevata,AS,Fabricius
Aspidomorpha flavochodorsata,AS,Wagener
Aspidomorpha flavovariegata,O,Spaeth
Aspidomorpha flavovariegata meraukensis,O,
Aspidomorpha fraterna,AS,Baly
Aspidomorpha fugax,AF,Spaeth
Aspidomorpha furcata,AS,Thunberg
Aspidomorpha fuscopunctata,AS,Boheman
Aspidomorpha gausapina,AF,Spaeth
Aspidomorpha gruevi,PA,Borowiec
Aspidomorpha icterica,AF,Boheman
Aspidomorpha indica,AS,Boheman
Aspidomorpha ingens,AF,Duvivier
Aspidomorpha interrupta,O,Fabricius
Aspidomorpha isparetta,AF,Boheman
Aspidomorpha lobata,AS,Boheman
Aspidomorpha maculatissima,O,Boheman
Aspidomorpha madagascarica,AF,Boheman
Aspidomorpha miliaris,AS,Fabricius
Aspidomorpha mutilata,AS,Boheman
Aspidomorpha natalensis,AF,Boheman
Aspidomorpha nigromaculata,AF,Herbst
Aspidomorpha obovata,AF,Klug
Aspidomorpha puncticosta,AF,Boheman
Aspidomorpha punctum,O,Fabricius
Aspidomorpha quadrimaculata,AF,Olivier
Aspidomorpha quadriradiata,O,Boheman
Aspidomorpha quinquefasciata,AF,Fabricius
Aspidomorpha salmonina,AS,Spaeth
Aspidomorpha sanctaecrucis,AS,Fabricius
Aspidomorpha sellata,AF,Weise
Aspidomorpha septemcostata,O,Wagener
Aspidomorpha socia,AS,Boheman
Aspidomorpha submutata,AF,Weise
Aspidomorpha tecta,AF,Boheman
Aspidomorpha togata,AF,Thomson
